Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
250040305000003;1;0;466488;466488;0;26;56;92;120;48;7;7;1;2;7;
250040305000004;1;0;278092;278092;0;27;59;116;105;20;0;0;2;0;24;
250040305000005;1;0;107492;107492;0;54;45;53;36;8;2;1;0;0;3;
250040305000006;1;0;232201;232201;0;55;52;97;86;16;1;0;1;0;20;
250040305000007;1;0;261189;261189;0;94;65;81;98;11;5;3;1;0;25;
250040305000008;1;0;231111;231111;0;24;33;53;67;23;2;4;1;1;12;
250040305000009;8;0;99445;99445;0;35;23;28;27;3;0;0;0;1;5;
250040305000010;8;0;88935;88935;0;14;39;38;31;4;1;0;0;0;0;
250040305000011;8;0;195659;195659;0;91;72;69;62;15;3;0;1;0;23;
250040305000012;8;0;45505;45505;0;27;26;23;9;3;0;0;0;0;19;
250040305000013;8;0;119498;119498;0;24;21;40;40;6;2;0;0;0;1;
250040305000014;8;0;149644;149644;0;64;52;49;53;8;0;0;0;0;4;
250040305000015;8;0;176893;176893;0;90;48;72;71;5;1;1;0;0;6;
250040305000016;8;0;115001;115001;0;57;56;46;37;3;0;0;0;0;3;
250040305000017;5;0;89172;89172;0;16;27;39;34;6;1;0;0;0;5;
250040305000018;8;0;263255;263255;0;78;76;89;92;20;2;1;0;0;6;
250040305000019;8;0;63423;63423;0;12;15;24;23;11;0;0;0;0;0;
250040305000020;8;0;156710;156710;0;45;45;57;53;17;2;0;0;0;3;
250040305000021;8;0;128523;128523;0;22;24;60;40;6;0;3;0;0;7;
250040305000022;8;1;50771;50261;510;27;18;21;13;2;0;1;0;0;7;
250040305000023;1;0;92887;92887;0;30;29;44;44;1;1;0;0;0;5;
250040305000024;1;0;235934;235934;0;9;19;38;65;36;7;2;1;0;4;
250050205000001;1;0;257237;257237;0;34;45;71;88;17;3;2;0;1;12;
250050205000002;1;1;217870;217070;800;24;42;87;78;21;1;1;0;0;11;
250050205000003;1;0;176804;176804;0;72;54;70;41;3;1;0;0;1;31;
250050205000004;1;2;342078;341128;950;30;51;112;105;36;3;2;0;1;5;
250050205000005;1;9;620161;619243;918;19;39;95;106;48;11;6;4;1;6;
250050205000006;1;1;226725;226725;0;73;90;97;79;12;0;1;0;0;17;
250050205000007;1;1;482560;482050;510;9;21;76;104;76;12;8;4;0;0;
250050205000008;1;0;252977;252977;0;53;51;88;79;24;6;0;1;0;18;
250050205000009;8;0;76088;76088;0;16;22;34;24;3;0;0;0;0;2;
250050205000010;8;0;111496;111496;0;17;17;49;41;12;0;0;0;0;3;
250050205000011;8;1;80928;80060;868;17;14;27;36;5;0;0;0;0;1;
250050205000012;8;0;81371;81371;0;14;19;39;34;8;0;0;0;0;5;
250050205000013;8;0;116869;116869;0;21;23;54;31;11;2;0;0;0;7;
250050205000014;8;0;67774;67774;0;14;20;24;24;3;0;0;1;0;7;
250050205000015;8;0;42556;42556;0;10;8;11;16;3;1;1;0;0;4;
250050205000016;8;0;68255;68255;0;16;28;26;20;2;1;0;0;0;5;
250050205000017;8;1;148177;147555;622;20;47;63;61;6;2;0;0;0;23;
250050205000018;5;0;57634;57634;0;20;15;20;20;3;0;1;0;0;2;
250050205000019;5;0;48577;48577;0;4;8;19;20;4;0;0;0;0;1;
250053605000001;1;0;192385;192385;0;22;28;45;68;18;7;1;0;0;4;
250053605000002;1;2;187815;186305;1510;19;31;74;72;23;2;0;0;0;2;
250053605000003;8;0;70045;70045;0;20;18;28;38;2;1;0;0;0;0;
250053605000004;5;0;85313;85313;0;16;22;32;39;4;0;0;0;0;5;
250053605000005;8;0;110446;110446;0;25;39;28;54;8;1;1;0;0;4;
250053605000006;8;0;87630;87630;0;14;32;27;48;6;0;0;0;0;5;
250053605000007;8;0;117266;117266;0;70;30;49;53;1;0;1;0;0;3;
250053605000008;8;0;23804;23804;0;13;11;7;7;2;0;0;0;0;4;
250053605000009;1;0;199964;199964;0;13;43;57;78;18;6;2;0;0;6;
250053605000010;5;0;127498;127498;0;15;16;47;67;7;2;1;0;0;5;
250057705000001;1;0;171425;171425;0;23;41;50;68;10;1;2;1;0;11;
250057705000002;8;0;108085;108085;0;26;21;45;42;12;1;0;0;0;3;
250057705000003;8;0;38542;38542;0;17;8;15;18;1;1;0;0;0;5;
250057705000004;8;3;54600;54332;268;30;23;19;26;1;0;0;0;0;9;
250057705000005;1;0;78081;78081;0;29;32;37;29;5;0;1;0;0;13;
250060105000001;1;0;252586;252586;0;9;30;71;90;37;2;3;0;0;10;
250060105000002;1;1;209775;209541;234;53;66;93;80;13;3;0;0;0;25;
250060105000003;1;2;170013;170013;0;31;57;82;56;12;1;0;0;0;16;
250060105000004;1;0;127580;127580;0;31;58;48;48;6;2;0;0;0;7;
250060105000005;1;0;178456;178456;0;21;45;54;48;21;2;1;0;0;53;
250060105000006;1;0;137938;137938;0;9;22;43;46;12;5;1;1;0;15;
250060105000007;1;0;208414;208414;0;6;15;50;64;24;1;4;1;0;2;
250060105000008;1;0;74285;74285;0;17;28;24;20;5;0;2;0;0;11;
250060105000009;8;0;116319;116319;0;11;36;57;35;3;1;0;0;0;3;
250060105000010;8;0;23940;23940;0;7;6;11;7;2;0;0;0;0;9;
250060105000011;8;0;61848;61848;0;14;23;38;16;2;0;0;0;0;4;
250060105000012;8;0;70838;70838;0;25;24;37;21;2;0;0;1;0;18;
250060105000013;8;0;7610;7610;0;1;5;4;2;1;0;0;0;0;1;
250060105000014;8;0;148041;148041;0;5;25;62;45;10;2;1;1;1;8;
250060105000015;5;1;238872;238272;600;26;75;127;75;12;0;0;0;0;89;
250060105000016;5;0;202967;202967;0;11;27;48;64;25;4;4;1;0;5;
250060105000017;8;0;59476;59476;0;9;29;37;17;3;0;0;0;0;3;
250060105000018;8;0;22990;22990;0;2;6;11;9;1;0;0;1;0;1;
250060105000019;1;0;190275;190275;0;31;38;70;68;18;5;1;0;0;6;
250060105000020;1;0;88140;88140;0;13;20;37;32;8;1;1;0;0;14;
250060105000021;1;0;30416;30416;0;25;30;21;13;0;0;0;0;0;28;
250060105000022;1;0;94440;94440;0;13;27;49;31;4;0;0;0;0;18;
250060105000023;1;1;283074;282564;510;27;39;74;71;28;4;4;2;1;11;
250060105000024;1;0;314074;314074;0;23;49;118;109;27;0;3;0;0;7;
250060105000025;1;0;228163;228163;0;9;37;71;61;38;3;2;0;0;13;
250060105000026;8;0;14076;14076;0;2;2;10;3;0;0;0;0;0;14;
250060105000027;5;1;190438;190438;0;24;43;96;63;17;0;0;0;0;15;
250060105000028;5;0;122583;122583;0;9;31;53;35;8;1;2;0;0;10;
250060105000029;5;0;52954;52954;0;28;26;29;18;1;0;0;0;0;8;
250070005000001;1;0;583600;583600;0;1;22;53;114;78;26;13;7;3;6;
250070005000002;1;0;206262;206262;0;23;43;82;59;21;3;3;0;0;8;
250070005000003;1;0;340567;340567;0;19;44;74;82;29;8;6;3;2;5;
250070005000004;1;1;495029;495029;0;16;25;89;95;50;18;9;4;1;7;
250070005000005;1;1;366663;365463;1200;6;15;48;75;56;13;10;3;2;4;
250070005000006;1;0;332890;332890;0;37;73;117;116;21;8;0;0;1;15;
250070005000007;8;2;88359;88359;0;23;19;35;32;6;3;0;0;0;18;
250070005000008;8;2;184925;184690;235;47;44;60;59;15;3;0;0;1;5;
250070005000009;8;0;89232;89232;0;34;24;38;31;9;0;1;0;0;5;
250070005000010;8;0;164451;164451;0;59;34;63;77;14;0;1;0;0;5;
250070005000011;8;0;71139;71139;0;23;24;29;26;7;1;0;0;0;1;
250070005000012;8;0;84001;84001;0;27;19;30;36;4;0;0;0;0;1;
250070005000013;8;3;175561;173639;1922;32;33;54;77;13;2;2;0;0;3;
250070005000014;8;0;46924;46924;0;24;7;21;19;2;0;0;0;0;8;
250070005000015;8;1;88827;88317;510;34;20;28;28;8;0;1;0;1;2;
250070005000016;8;0;99305;99305;0;34;21;34;39;7;0;0;0;0;5;
250070005000017;8;0;114440;114440;0;39;39;39;56;3;0;0;0;0;27;
250070005000018;8;0;84893;84893;0;31;15;32;36;4;1;1;0;0;8;
250070005000019;5;0;101308;101308;0;30;13;33;57;7;0;0;0;0;10;
250070005000020;1;0;299650;299650;0;15;31;63;92;32;9;4;1;0;6;
250070005000021;5;0;131073;131073;0;23;16;35;64;15;0;1;0;0;13;
250070015000001;1;0;43216;43216;0;2;6;14;19;5;0;0;0;0;8;
250070015000002;8;0;174699;174699;0;19;26;43;70;22;1;2;2;0;1;
250070015000003;8;2;182523;182183;340;64;24;64;76;19;0;0;0;0;4;
250070015000004;8;2;52839;52143;696;15;17;26;25;2;0;0;0;0;0;
250070015000005;8;0;160575;160575;0;40;35;48;77;9;1;0;0;0;3;
250070015000006;8;0;71766;71766;0;24;26;23;22;8;1;0;0;0;4;
250070015000007;5;0;196233;196233;0;46;54;60;78;18;2;1;0;0;1;
250073405000001;1;0;171741;171741;0;19;30;69;53;18;2;3;1;1;11;
250073405000002;8;0;85244;85244;0;46;28;35;34;6;1;0;0;0;12;
250073405000003;8;0;95027;95027;0;12;34;31;42;5;0;0;0;0;10;
250073405000004;1;0;90538;90538;0;14;25;46;32;7;1;0;0;0;8;
250077505000001;1;0;269062;269062;0;12;30;55;88;19;2;5;3;0;11;
250077505000002;1;0;279708;279708;0;31;63;91;111;23;3;1;1;0;3;
250077505000003;8;0;243504;243504;0;55;34;90;100;10;1;0;0;1;9;
250077505000004;8;1;135427;135220;207;78;30;54;67;4;0;1;1;0;16;
250077505000005;8;0;82925;82925;0;44;22;35;35;5;0;0;0;0;6;
250077505000006;8;0;122215;122215;0;28;41;43;48;6;1;1;0;0;6;
250077505000007;5;0;101795;101795;0;27;30;35;25;6;0;1;0;0;4;
250077505000008;1;1;203925;203125;800;38;31;71;80;16;1;1;1;0;1;
250077505000009;1;0;278830;278830;0;29;38;70;92;22;6;1;2;1;3;
250077505000010;5;0;85077;85077;0;15;13;23;35;5;1;0;0;1;3;
250077505000011;5;0;25472;25472;0;20;18;10;7;0;0;0;0;0;2;
250080905000001;1;1;411156;410956;200;27;36;67;107;51;13;7;1;1;6;
250080905000002;1;0;262325;262325;0;35;33;72;81;36;4;3;1;0;5;
250080905000003;1;3;301427;300449;978;37;42;90;99;42;6;0;3;0;1;
250080905000004;1;2;258873;257723;1150;33;45;84;100;35;1;1;1;0;7;
250080905000005;1;5;209900;209290;610;15;36;75;93;23;2;1;0;0;70;
250080905000006;1;0;253398;253398;0;18;36;82;83;35;1;2;0;0;5;
250080905000007;8;0;61513;61513;0;12;9;20;28;3;1;0;0;0;6;
250080905000008;8;0;48554;48554;0;17;13;23;22;1;0;0;0;0;9;
250080905000009;8;0;23227;23227;0;13;5;13;9;1;0;0;0;0;2;
250080905000010;8;0;12880;12880;0;5;2;7;5;0;0;0;0;0;24;
250080905000011;8;0;66941;66941;0;17;17;22;33;4;0;0;0;0;1;
250080905000012;8;0;91023;91023;0;22;28;37;42;3;0;0;0;0;19;
250080905000013;8;0;79364;79364;0;43;27;24;36;5;0;0;0;0;20;
250080905000014;8;0;109476;109476;0;37;23;42;54;6;1;0;0;0;2;
250080905000015;8;0;62366;62366;0;24;10;16;26;9;0;0;0;0;2;
250080905000016;8;0;125141;125141;0;19;28;29;56;7;1;1;2;0;25;
250080905000017;8;0;64234;64234;0;69;27;35;22;1;1;0;0;0;36;
250080905000018;8;1;37683;37173;510;19;10;16;24;1;0;0;0;0;23;
250080905000019;8;0;28930;28930;0;21;2;15;9;1;0;0;0;0;8;
250080905000020;8;0;57735;57735;0;19;13;18;24;4;0;1;0;0;3;
250080905000021;8;0;32120;32120;0;22;12;11;14;4;0;0;0;0;2;
250080905000022;8;0;47086;47086;0;25;12;23;16;2;1;0;0;0;8;
250080905000023;8;0;19913;19913;0;15;7;7;7;1;0;0;0;0;1;
250080905000024;8;0;73571;73571;0;56;15;48;27;3;0;0;0;0;32;
250080905000025;8;0;12972;12972;0;16;4;9;5;0;0;0;0;0;2;
250080905000026;8;0;70052;70052;0;34;22;35;26;4;0;0;0;0;6;
250080905000027;8;0;67717;67717;0;28;20;28;34;3;1;0;0;0;5;
250080905000028;8;0;16368;16368;0;13;9;9;4;0;0;0;0;0;49;
250080905000029;8;0;32785;32785;0;11;4;19;18;1;0;0;0;0;0;
250080905000030;8;0;10454;10454;0;11;3;7;4;0;0;0;0;0;0;
250080905000031;8;1;42728;42260;468;14;7;18;19;3;1;0;0;0;2;
250080905000032;5;0;97799;97799;0;14;26;38;48;7;0;0;0;0;2;
250080905000033;5;0;36156;36156;0;44;12;24;7;0;0;0;0;0;13;
250080905000034;5;0;82780;82780;0;26;14;30;31;4;0;0;0;1;15;
250080905000035;5;0;3842;3842;0;1;0;2;2;0;0;0;0;0;0;
250080905000036;1;0;138773;138773;0;45;70;69;54;11;1;0;0;0;3;
250080905000037;5;0;165343;165343;0;33;37;63;70;14;2;0;1;0;6;
250080905000038;5;0;6890;6890;0;6;3;5;1;0;0;0;0;0;1;
250090805000001;1;1;206508;206508;0;35;36;51;84;31;4;0;1;0;11;
250090805000002;1;0;176074;176074;0;23;17;52;82;29;1;0;0;0;0;
250090805000003;1;0;342201;342201;0;20;34;81;104;49;10;7;1;0;7;
250090805000004;1;1;328917;327719;1198;33;38;62;106;40;8;6;2;1;5;
250090805000005;1;0;152115;152115;0;10;15;25;61;30;2;2;0;0;1;
250090805000006;1;0;198846;198846;0;14;23;43;56;19;4;2;3;0;3;
250090805000007;1;0;255161;255161;0;33;34;66;91;26;2;4;1;0;4;
250090805000008;1;0;123220;123220;0;13;14;38;66;8;0;2;0;0;1;
250090805000009;1;3;125515;124905;610;58;36;55;59;7;2;0;0;0;9;
250090805000010;8;0;77463;77463;0;34;27;33;37;2;0;0;0;0;2;
250090805000011;8;0;100431;100431;0;54;31;47;40;7;0;0;0;0;9;
250090805000012;8;0;77000;77000;0;40;17;27;29;6;1;0;0;0;8;
250090805000013;8;0;64868;64868;0;25;19;22;37;1;0;0;0;0;3;
250090805000014;8;1;77250;76950;300;20;32;34;36;6;0;0;0;0;8;
250090805000015;8;0;222093;222093;0;32;83;112;79;6;1;0;0;0;11;
250090805000016;1;0;150462;150462;0;23;35;57;71;10;2;0;0;0;5;
250090805000017;1;0;148224;148224;0;46;31;50;81;15;1;0;0;0;16;
250090805000018;1;0;223625;223625;0;38;46;55;74;29;2;1;0;1;3;
250090805000019;1;1;99314;99314;0;48;35;49;46;6;0;2;0;0;9;
250100505000001;1;0;275638;275638;0;25;44;78;95;32;5;1;2;0;2;
250100505000002;1;0;289689;289689;0;16;52;99;117;15;1;2;2;0;23;
250100505000003;1;0;148390;148390;0;16;26;52;64;15;0;0;0;0;1;
250100505000004;1;0;133458;133458;0;35;32;57;52;12;0;0;0;0;9;
250100505000005;1;1;235291;234773;518;22;44;85;83;27;3;1;0;0;4;
250100505000006;1;0;286075;286075;0;10;28;47;75;24;7;5;1;2;8;
250100505000007;1;6;421264;417324;3940;16;33;65;95;39;17;11;5;2;6;
250100505000008;8;1;86741;86331;410;82;29;39;31;2;3;0;0;0;18;
250100505000009;8;0;67756;67756;0;22;21;28;27;1;0;1;0;0;1;
250100505000010;8;1;53051;52931;120;18;27;25;18;6;1;0;0;0;1;
250100505000011;8;0;91056;91056;0;33;28;26;27;3;0;2;1;0;3;
250100505000012;8;0;108640;108640;0;36;23;41;50;5;0;1;0;0;7;
250100505000013;8;0;91525;91525;0;43;28;39;35;3;0;0;0;0;5;
250100505000014;5;2;246117;246117;0;96;46;107;89;17;1;0;0;0;40;
250100505000015;8;0;45493;45493;0;21;21;14;22;1;0;0;0;0;7;
250100505000016;8;0;50821;50821;0;34;20;19;15;3;0;0;0;0;1;
250100505000017;8;0;88973;88973;0;69;21;26;41;4;0;0;0;0;16;
250100505000018;8;0;144018;144018;0;114;40;64;52;6;0;1;0;0;29;
250100505000019;5;0;35650;35650;0;32;8;13;15;2;1;0;0;0;5;
250100505000020;8;0;219333;219333;0;96;53;78;87;9;1;3;0;0;10;
250100505000021;7;0;35754;35754;0;30;9;17;16;1;0;0;0;0;3;
250100505000022;5;0;23869;23869;0;18;7;15;5;2;0;0;0;0;6;
250100505000023;5;0;45328;45328;0;27;18;27;14;0;0;0;0;0;11;
250100505000024;1;0;175358;175358;0;17;35;58;72;17;1;2;0;0;0;
250100505000025;1;0;152359;152359;0;82;52;75;67;6;0;0;0;0;10;
250100505000026;1;0;125579;125579;0;50;46;55;46;6;1;2;0;0;6;
250100505000027;1;0;247290;247290;0;29;39;68;83;12;3;5;1;0;4;
250110405000001;1;1;235037;234527;510;1;9;25;32;29;8;9;3;1;1;
250110405000002;1;1;453289;452694;595;2;8;14;57;30;25;16;12;5;4;
250110405000003;1;0;260392;260392;0;11;21;51;58;34;9;7;3;0;6;
250110405000004;1;0;418729;418729;0;7;18;41;48;16;8;9;12;3;7;
250110405000005;1;0;130703;130703;0;27;27;54;45;11;3;1;0;0;41;
250110405000006;1;0;272101;272101;0;16;24;30;46;33;10;6;1;1;2;
250110405000007;1;0;236064;236064;0;23;36;98;97;17;1;0;0;0;10;
250110405000008;1;0;295747;295747;0;17;27;68;62;36;8;3;5;0;4;
250110405000009;1;0;117042;117042;0;57;46;80;28;5;1;0;0;0;10;
250110405000010;1;0;127720;127720;0;21;17;48;42;11;2;0;0;0;2;
250110405000011;8;1;146542;146032;510;16;27;26;21;10;5;2;3;0;2;
250110405000012;8;0;71418;71418;0;20;28;36;16;4;0;0;0;0;5;
250110405000013;5;0;132151;132151;0;28;29;57;33;9;2;1;0;0;10;
250110405000014;8;1;25939;25539;400;13;15;14;9;0;0;0;0;0;1;
250110405000015;8;0;42186;42186;0;1;12;11;9;3;0;0;1;0;1;
250110405000016;8;0;38405;38405;0;11;11;15;10;0;0;0;0;1;6;
250110405000017;8;0;13245;13245;0;14;8;8;0;0;0;0;0;0;7;
250110405000018;8;1;22042;21712;330;3;13;7;7;2;0;0;0;0;1;
250110405000019;8;0;61120;61120;0;24;26;32;9;1;0;0;1;0;11;
250110405000020;8;0;47338;47338;0;41;39;18;14;0;0;0;0;0;2;
250110405000021;8;0;49201;49201;0;9;18;23;15;8;0;0;0;0;1;
250110405000022;1;0;82266;82266;0;0;0;1;1;5;3;1;5;0;0;
250110405000023;1;0;182852;182852;0;8;25;46;56;14;7;3;0;1;20;
250110405000024;1;0;326021;326021;0;2;12;27;40;20;18;16;8;0;0;
250110405000025;1;0;120463;120463;0;10;17;24;31;12;4;3;0;0;3;
250110405000026;1;0;336368;336368;0;5;14;32;47;27;9;8;8;0;7;
250110405000027;1;0;227630;227630;0;31;39;67;69;20;7;2;2;0;6;
250110405000028;1;0;372877;372877;0;8;23;47;95;37;12;9;1;1;1;
250110405000029;1;0;120368;120368;0;13;30;62;36;10;2;0;0;0;1;
250110405000030;1;0;234276;234276;0;15;37;52;60;15;5;3;3;0;7;
250110405000031;1;0;132632;132632;0;36;49;51;38;4;0;0;0;1;6;
250110410000001;1;0;143512;143512;0;20;38;63;41;12;5;1;0;0;2;
250110410000002;8;0;140779;140779;0;20;25;44;29;9;2;1;1;0;2;
250110410000003;8;0;25292;25292;0;8;5;9;7;4;0;0;0;0;0;
250110410000004;8;0;75690;75690;0;39;27;31;21;3;0;0;0;0;9;
250110410000005;8;0;51904;51904;0;14;19;29;14;0;1;0;0;0;3;
250110415000001;1;1;217948;217928;20;31;52;90;85;15;2;1;0;0;4;
250110415000002;8;1;128622;128622;0;39;49;51;44;9;0;0;0;0;12;
250110415000003;8;0;85703;85703;0;15;29;24;23;3;2;1;0;0;2;
250110415000004;8;0;25095;25095;0;8;7;5;14;1;0;0;0;0;2;
250110415000005;8;0;21314;21314;0;1;4;9;6;2;0;0;0;0;1;
250110420000001;1;0;49658;49658;0;15;17;15;23;1;1;0;0;0;1;
250110420000002;8;0;61178;61178;0;6;6;22;18;0;1;0;1;0;1;
250110420000003;8;0;108023;108023;0;16;22;41;30;5;1;0;0;1;3;
250110420000004;8;0;57097;57097;0;58;16;29;24;0;0;0;0;0;51;
250110420000005;8;0;15938;15938;0;5;3;4;7;2;0;0;0;0;0;
250110420000006;8;3;45970;43690;2280;28;16;15;21;1;0;0;0;0;4;
250110420000007;8;0;81916;81916;0;29;25;31;30;4;2;0;0;0;6;
250110420000008;8;0;34243;34243;0;17;6;12;12;2;0;0;0;0;18;
250115305000001;1;0;227817;227817;0;38;54;87;64;18;2;1;1;0;2;
250115305000002;5;0;94743;94743;0;3;14;25;33;7;0;0;0;0;2;
250115305000003;8;0;39111;39111;0;2;5;14;10;8;0;0;0;0;0;
250115305000004;8;0;51005;51005;0;7;10;20;16;3;0;1;0;0;0;
250115305000005;8;0;56801;56801;0;5;6;12;9;9;0;0;0;0;0;
250120305000001;1;4;316861;313951;2910;40;46;79;106;43;4;4;1;0;13;
250120305000002;1;0;171189;171189;0;22;22;46;56;31;5;0;1;0;1;
250120305000003;1;2;344399;342989;1410;39;36;84;94;54;10;3;2;0;3;
250120305000004;1;0;304247;304247;0;39;49;89;132;39;1;2;0;0;5;
250120305000005;8;2;54143;53751;392;47;17;26;16;3;0;0;0;0;4;
250120305000006;8;0;1380;1380;0;3;1;1;0;0;0;0;0;0;1;
250120305000007;8;0;73038;73038;0;11;13;39;17;6;0;0;2;0;8;
250120305000008;8;4;183274;181909;1365;68;62;70;72;9;0;1;0;0;19;
250120305000009;1;1;201109;200709;400;28;41;75;78;20;2;1;0;0;2;
250130205000001;1;2;392839;392199;640;6;36;61;114;48;12;5;2;0;3;
250130205000002;1;0;235939;235939;0;27;31;39;72;24;8;5;3;1;10;
250130205000003;1;1;154936;154126;810;34;33;66;51;19;0;0;2;1;8;
250130205000004;1;0;152518;152518;0;14;20;61;63;19;3;1;0;0;6;
250130205000005;1;0;164904;164904;0;13;21;44;55;30;1;1;0;0;5;
250130205000006;1;0;184632;184632;0;23;41;57;79;22;1;1;0;0;11;
250130205000007;1;3;201079;200579;500;19;27;38;44;22;5;3;2;1;5;
250130205000008;1;0;154481;154481;0;27;26;46;64;17;0;0;0;1;46;
250130205000009;8;0;48607;48607;0;12;14;21;21;3;0;0;0;0;0;
